Changes in global ocean heat content in Zettajoules (ZJ) relative to the 1971 average.
Year,Central Estimate 0-700m,0-700m Uncertainty (1-sigma),Central Estimate 700-2000m,700-2000m Uncertainty (1-sigma),Central Estimate >2000m,>2000m Uncertainty (1-sigma),Central Estimate Full-depth,Full-depth Uncertainty (1-sigma)
2000.5,92.67899333333334,14.686126306812659,42.42090333333333,11.086011626668254,10.350000000000001,3.11854103343465,145.44989666666666,28.890678966915562
2001.5,101.14229333333334,15.602323407096655,46.035803333333334,10.404666443234948,11.500000000000002,3.465045592705167,158.67809666666668,29.47203544303677
2002.5,119.98009333333334,15.618889101040327,54.572269999999996,8.977044814061196,12.650000000000002,3.811550151975684,187.20236333333335,28.40748406707721
2003.5,132.46486000000002,14.324858213245031,60.47170333333332,7.663980949706084,13.800000000000002,4.1580547112462005,206.73656333333335,26.146893874197318
2004.5,136.22052666666667,12.40225051521031,66.45900333333333,6.700432975185478,14.950000000000003,4.504559270516718,217.62953,23.60724276091251
2005.5,135.59219333333334,11.591023667041668,70.90136999999999,6.325790131034721,16.1,4.851063829787234,222.59356333333332,22.767877627863626
2006.5,132.74852666666666,11.590427734304596,73.63606999999999,6.127277997658086,17.25,5.197568389057751,223.63459666666665,22.91527412102043
2007.5,135.17319333333333,11.18615537832167,75.68687,6.323832341511868,18.4,5.544072948328268,229.26006333333333,23.054060668161807
2008.5,138.53319333333334,10.809576714807822,76.92710333333333,6.486130748495629,19.549999999999997,5.890577507598785,235.0102966666667,23.186284970902236
2009.5,146.34452666666667,10.517135668300039,80.34343666666666,6.359540232141155,20.699999999999996,6.237082066869301,247.38796333333332,23.113757967310494
2010.5,151.85552666666666,10.523399878232492,84.85480333333332,5.805689371890084,21.849999999999994,6.583586626139819,258.56033,22.912675876262398
2011.5,153.16019333333335,10.51082671454917,89.69596999999999,5.487649743723576,22.999999999999993,6.930091185410335,265.8561633333333,22.92856764368308
2012.5,160.95186,10.65615829445088,97.01093666666667,5.255359973557814,24.14999999999999,7.2765957446808525,282.11279666666667,23.188114012689546
2013.5,167.07919333333334,10.680493690134911,103.54876999999999,5.354155185397746,25.29999999999999,7.623100303951369,295.92796333333337,23.657749179484025
2014.5,178.72252666666668,10.70507206005796,110.14623666666667,5.666161215163643,26.44999999999999,7.969604863221886,315.3187633333333,24.340838138443488
2015.5,180.94652666666667,10.865931518797305,113.10623666666666,5.618520675515723,27.599999999999987,8.316109422492403,321.6527633333333,24.80056161680543
2016.5,189.81519333333333,10.974289190559574,117.18823666666665,5.806345779321633,28.749999999999986,8.66261398176292,335.75343,25.443248951644126
2017.5,196.88586,10.696392756359604,118.92090333333331,6.154601803379681,29.899999999999984,9.009118541033436,345.7067633333333,25.860113100772722
2018.5,211.38352666666668,10.744560101289897,123.25690333333333,6.615099134763225,31.049999999999983,9.355623100303953,365.69043,26.715282336357077
2019.5,219.15386,10.96280595865104,125.91423666666665,6.986000091868657,32.20000000000118,9.702127659574785,377.2680966666678,27.650933710094485
2020.5,227.48552666666666,11.24493498278528,131.55490333333333,7.241035861963036,33.35000000000127,10.048632218845228,392.3904300000013,28.534603063593543
2021.5,235.89619333333334,11.667555211343377,136.19290333333333,7.869744114843569,34.500000000001364,10.395136778115784,406.58909666666807,29.93243610430273
2022.5,247.82652666666667,12.033964901298116,141.23357,9.110476514123272,35.650000000001455,10.741641337386227,424.7100966666681,31.886082752807617
