yrs,atmosphere,cryosphere,land,ocean_0-700m,ocean_0-700m_error,ocean_700-2000m,ocean_700-2000m_error,ocean_2000-6000m,ocean_2000-6000m_error,ocean_full-depth,Total,Units
1971.5,-1.0629034042358398,0.0,2.603889226913452,0.0,46.64800694217584,0.0,12.66052035808695,0.0,0.0,0.0,1.5409858226776123,ZJ
1972.5,-0.4476390779018402,0.0,2.7028350830078125,9.797771851885244,46.45350845474709,-0.2773433333333344,13.196416636352133,0.0,0.0,9.52042851855191,11.775624523657882,ZJ
1973.5,0.6336615681648254,0.0,3.028850555419922,4.5060107855609886,50.21640899346292,-3.9104799999999926,14.898311762823063,0.0,0.0,0.5955307855609959,4.258042909145743,ZJ
1974.5,-0.7077251076698303,0.0,3.249931812286377,11.583551048744141,52.33651178159851,1.6357500000000016,15.118807696408593,0.0,0.0,13.219301048744143,15.76150775336069,ZJ
1975.5,-0.3907598555088043,0.0,3.3952338695526123,4.467820693553477,53.692383112622025,4.517913333333333,15.285553597340487,0.0,0.0,8.98573402688681,11.990208040930618,ZJ
1976.5,-1.171748161315918,0.0,3.649062156677246,19.041318724675136,53.90851922880286,7.8685000000000045,15.087667573880855,0.0,0.0,26.90981872467514,29.38713272003647,ZJ
1977.5,0.2091430276632309,0.0,3.8959977626800537,18.14814369243925,52.90255230166497,6.285167333333341,14.375839030338417,0.0,0.0,24.43331102577259,28.538451816115874,ZJ
1978.5,0.34001412987709045,0.0,4.3350443840026855,35.06202277062674,49.14090461576674,4.770844000000011,12.51466948198288,0.0,0.0,39.83286677062675,44.50792528450653,ZJ
1979.5,1.0406904220581055,0.0,4.689095497131348,46.83163051687929,48.21411076304663,7.7265773333333385,10.164641077117926,0.0,0.0,54.558207850212625,60.28799376940208,ZJ
1980.5,1.3593391180038452,0.7509443163871765,4.959939956665039,65.29791081070587,47.64679072256321,9.711603333333343,9.248468108199212,0.0,0.0,75.00951414403922,82.07973753509528,ZJ
1981.5,1.2739447355270386,0.9653310179710388,5.330621719360352,74.64609292924315,50.94236605736769,8.938816666666675,9.139187344246418,0.0,0.0,83.58490959590983,91.15480706876826,ZJ
1982.5,0.3820919096469879,1.7182295322418213,5.516084671020508,64.08438878289567,49.15195319694487,6.204110000000007,10.132765725840805,0.0,0.0,70.28849878289569,77.904904895805,ZJ
1983.5,0.5597698092460632,1.4061490297317505,5.910233497619629,50.994753342490725,46.63685275848411,6.135426666666675,11.772956174217244,0.0,0.0,57.1301800091574,65.00633234575484,ZJ
1984.5,-0.07859458029270172,1.1835378408432007,6.176280975341797,41.01339965726143,44.055102861785116,11.225933333333337,13.67932212057245,0.0,0.0,52.23933299059477,59.520557226487064,ZJ
1985.5,-0.23116746544837952,1.1117552518844604,6.380438327789307,48.060451782718076,42.8049524835567,16.178740000000005,13.463453380176212,0.0,0.0,64.23919178271808,71.50021789694347,ZJ
1986.5,-5.6903350923676044e-05,1.3646444082260132,6.769113540649414,57.605316015007986,40.52040885371126,16.68459666666667,12.29899211497116,0.0,0.0,74.28991268167465,82.42361372719915,ZJ
1987.5,0.7031776905059814,0.759063184261322,7.076949596405029,76.87879455023179,39.49115853322775,17.842796666666672,11.369342074607705,0.0,0.0,94.72159121689846,103.2607816880708,ZJ
1988.5,2.05509352684021,1.2184590101242065,7.535487651824951,88.41935371134277,39.07994879057787,17.874030000000005,11.309743185432783,0.0,0.0,106.29338371134277,117.10242390013214,ZJ
1989.5,1.3388557434082031,1.5219712257385254,7.980367660522461,97.63987510527211,36.52037119219896,20.063166666666675,10.38658049765296,0.0,0.0,117.70304177193879,128.54423640160798,ZJ
1990.5,1.8742836713790894,1.616564154624939,8.324044227600098,100.4174994184712,32.183139934294104,21.107100000000003,10.892946400276482,0.0,0.0,121.5245994184712,133.33949147207534,ZJ
1991.5,1.6640121936798096,1.9325857162475586,8.796988487243652,92.89095720159102,26.623111068341526,26.343100000000007,10.1917622758522,0.0,0.0,119.23405720159103,131.62764359876206,ZJ
1992.5,-0.48221448063850403,2.125200033187866,9.045731544494629,93.40119349972791,21.541722050990625,33.90753333333333,9.723406544431676,1.15,0.34650455927051665,128.45872683306123,139.14744393010523,ZJ
1993.5,-0.4178968071937561,1.782895803451538,9.460097312927246,90.1382513955084,19.751611978776044,40.514633333333336,8.864878123669195,2.3,0.6930091185410333,132.95288472884175,143.77798103802678,ZJ
1994.5,0.15729014575481415,2.2664706707000732,9.945704460144043,90.5002991739866,18.165386670781366,37.586600000000004,8.28075135373035,3.4499999999999997,1.0395136778115501,131.5368991739866,143.90636445058553,ZJ
1995.5,0.5296967029571533,2.609434127807617,10.473007202148438,97.64103374320388,19.52936476122372,36.571000000000005,8.284898451847182,4.6,1.3860182370820666,138.81203374320387,152.42417177611708,ZJ
1996.5,0.613957405090332,3.3683931827545166,10.802389144897461,107.31977348619365,21.408045220459183,37.94046666666667,8.21258796082317,5.75,1.7325227963525833,151.01024015286032,165.79497988560263,ZJ
1997.5,0.4287089407444,2.986387252807617,11.278951644897461,107.37289688934129,20.353349958726795,37.86623333333334,8.713078898815365,6.9,2.0790273556231,152.13913022267465,166.83317806112413,ZJ
1998.5,2.830653667449951,3.308448076248169,11.752684593200684,97.812283726353,19.910144191073563,38.7715,9.189031535268319,8.05,2.4255319148936163,144.63378372635302,162.52557006325182,ZJ
1999.5,1.3492107391357422,3.8718557357788086,12.120877265930176,96.63567360001954,23.416316072818425,36.40756666666667,10.517380464122102,9.200000000000001,2.7720364741641332,142.2432402666862,159.58518400753093,ZJ
