Changes in global ocean heat content in Zettajoules (ZJ) relative to the 1971 average.
Year,Central Estimate 0-700m,0-700m Uncertainty (1-sigma),Central Estimate 700-2000m,700-2000m Uncertainty (1-sigma),Central Estimate >2000m,>2000m Uncertainty (1-sigma),Central Estimate Full-depth,Full-depth Uncertainty (1-sigma)
1971.5,0.0,46.18328909726875,0.0,18.266684604951738,0.0,0.0,0.0,64.44997370222049
1972.5,9.800000000000011,45.994165951356834,-0.2369766666666635,19.16281967686513,0.0,0.0,9.563023333333348,65.15698562822196
1973.5,4.800000000000011,49.46254753277736,-3.9986966666666603,21.57956419210754,0.0,0.0,0.801303333333351,71.0421117248849
1974.5,11.699999999999989,51.499028926863154,1.4892533333333233,19.781092864295143,0.0,0.0,13.189253333333312,71.2801217911583
1975.5,4.699999999999989,52.51795939892582,4.3499300000000005,20.56798363066812,0.0,0.0,9.04992999999999,73.08594302959393
1976.5,19.19999999999999,52.90718003772301,7.710283333333329,18.703105994572784,0.0,0.0,26.910283333333318,71.61028603229579
1977.5,18.5,51.612159941835095,5.983394666666669,18.513087089097482,0.0,0.0,24.48339466666667,70.12524703093257
1978.5,35.3,48.249713603730214,4.365554666666668,18.33774528155034,0.0,0.0,39.665554666666665,66.58745888528055
1979.5,47.0,47.539798644076406,7.385084666666657,16.17124415568951,0.0,0.0,54.38508466666666,63.71104279976592
1980.5,65.1,47.42498781352176,9.47720666666666,14.109255255334752,0.0,0.0,74.57720666666665,61.53424306885651
1981.5,74.19999999999999,51.006194139374124,8.807286666666663,13.931353573806662,0.0,0.0,83.00728666666666,64.93754771318079
1982.5,63.599999999999994,49.41926660114731,6.101233333333333,18.271177635095764,0.0,0.0,69.70123333333333,67.69044423624307
1983.5,50.599999999999994,45.85791859848804,6.016923333333331,19.84272193261335,0.0,0.0,56.616923333333325,65.70064053110139
1984.5,40.8,42.72806871061331,11.13085666666666,16.84339842636961,0.0,0.0,51.93085666666666,59.57146713698292
1985.5,48.0,41.74552760225152,16.212576666666664,15.173007238105644,0.0,0.0,64.21257666666666,56.91853484035717
1986.5,57.599999999999994,40.044380222869115,16.717133333333337,16.58479277939539,0.0,0.0,74.31713333333333,56.62917300226451
1987.5,76.69999999999999,39.67867260313099,17.7832,15.237783734744287,0.0,0.0,94.48319999999998,54.916456337875275
1988.5,88.1,39.01218219762314,17.64093333333333,12.71170855285003,0.0,0.0,105.74093333333332,51.723890750473174
1989.5,97.4,35.994374033711814,19.899069999999995,10.556144291944149,0.0,0.0,117.29907,46.550518325655965
1990.5,100.2,32.83946022819342,21.074869999999997,10.87738580404175,0.0,0.0,121.27486999999999,43.71684603223517
1991.5,92.89999999999999,29.363386968014108,26.034836666666664,13.511672399184047,0.0,0.0,118.93483666666665,42.875059367198155
1992.5,93.3,25.222004819541425,33.75520333333333,15.128225862701708,1.15,0.34650455927051665,128.20520333333332,40.69673524151365
1993.5,90.1,23.785973434535652,40.33723666666666,15.055803625700252,2.3,0.6930091185410333,132.73723666666666,39.53478617877694
1994.5,90.4,22.62732369150835,37.70800333333333,14.110056015555813,3.4499999999999997,1.0395136778115501,131.55800333333332,37.77689338487571
1995.5,97.5,22.9470701740497,36.84603666666666,10.77276719909946,4.6,1.3860182370820666,138.94603666666666,35.10585561023123
1996.5,107.2,25.166215380054965,38.25910333333333,10.332978826147308,5.75,1.7325227963525833,151.20910333333333,37.23171700255486
1997.5,107.3,22.99861228088392,38.27733666666666,9.794426915260422,6.9,2.0790273556231,152.47733666666667,34.87206655176744
1998.5,97.7,20.748454607696257,39.08757,9.524830691190772,8.05,2.4255319148936163,144.83757000000003,32.69881721378064
1999.5,95.39999999999999,22.45327462132961,36.52703666666666,10.125786918134231,9.200000000000001,2.7720364741641332,141.12703666666664,35.35109801362797
2000.5,103.2,24.79442021066848,42.42090333333333,10.063589200890549,10.350000000000001,3.11854103343465,155.97090333333333,37.976550444993684
2001.5,120.30000000000001,25.339851383735652,46.03580333333333,11.127273618936254,11.500000000000002,3.465045592705167,177.83580333333333,39.93217059537707
2002.5,128.2,23.91357477911716,54.572269999999996,7.765881760621264,12.650000000000002,3.811550151975684,195.42227,35.491006691714105
2003.5,145.8,19.613992606121943,60.47170333333332,7.8212886384633675,13.800000000000002,4.1580547112462005,220.07170333333335,31.593335955831513
2004.5,156.6,13.654203427004031,66.45900333333333,9.830265210125406,14.950000000000003,4.504559270516718,238.00900333333334,27.989027907646157
2005.5,162.5,11.54645835342305,70.90136999999999,8.76910430512806,16.1,4.851063829787234,249.50136999999998,25.166626488338345
